lat,long
41.94433,-87.65768
41.96962,-87.6687
41.93349,-87.72267
41.96963,-87.66845
41.96716,-87.68878
41.98997,-87.66795
41.93905,-87.7566
41.95016,-87.663
41.95123,-87.65573
41.99104,-87.66274
41.94819,-87.65822
41.99322,-87.67205
41.93175,-87.65239
41.90092,-87.69238
41.90676,-87.6888
41.91622,-87.66933
41.91613,-87.66902
41.93351,-87.72819
41.89866,-87.66592
41.97258,-87.66682
41.96277,-87.78414
41.93883,-87.64791
41.93496,-87.72842
41.94197,-87.68684
41.90885,-87.67357
41.82193,-87.6101
42.02083,-87.67044
41.88664,-87.6509
41.8478,-87.63383
41.91995,-87.64946
41.95061,-87.64618
41.97096,-87.65693
41.94076,-87.7041
41.90209,-87.69264
41.94599,-87.73361
41.94136,-87.652
41.89745,-87.68274
41.80077,-87.59243
41.95905,-87.72953
41.95966,-87.73108
41.80766,-87.60066
41.89722,-87.6261
41.90956,-87.67344
41.96899,-87.66612
42.00796,-87.66846
41.8937,-87.6603
41.88542,-87.77474
41.97157,-87.77577
41.7426,-87.69383
41.91157,-87.6474
41.91139,-87.68567
41.89607,-87.66019
41.94487,-87.65056
41.84663,-87.68306
41.83772,-87.66253
41.89046,-87.61917
41.95045,-87.65558
41.92088,-87.71906
41.89685,-87.65839
41.89657,-87.65459
41.90692,-87.68917
41.82591,-87.60569
41.83011,-87.6472
41.85593,-87.65609
41.95522,-87.66463
41.90359,-87.69643
41.88161,-87.62809
41.89977,-87.66894
41.82392,-87.60672
41.90158,-87.66316
41.92719,-87.78491
41.82272,-87.61743
41.83087,-87.61005
41.94654,-87.6524
41.89463,-87.62759
41.94357,-87.65099
41.908,-87.67366
41.9787,-87.67879
41.90678,-87.62887
41.82094,-87.60178
41.91744,-87.65368
41.8971,-87.67098
41.95413,-87.65166
41.90684,-87.68974
41.80394,-87.60392
41.91016,-87.67254
41.88755,-87.70195
41.91824,-87.65202
41.8621,-87.70574
41.96593,-87.68663
41.8976,-87.67735
41.90522,-87.69444
41.93237,-87.69095
41.89158,-87.66807
41.92734,-87.64741
41.91393,-87.69338
41.97408,-87.67104
41.9572,-87.67654
41.90663,-87.67293
41.9191,-87.681
41.90691,-87.66833
41.92078,-87.71708
41.94293,-87.6505
41.92321,-87.68573
41.8925,-87.62384
41.9859,-87.77188
41.94774,-87.65877
41.9028,-87.64195
42.00666,-87.67224
41.82673,-87.60528
41.90929,-87.69242
41.90936,-87.69185
41.93402,-87.71093
41.94018,-87.6593
41.88694,-87.7023
41.91558,-87.71859
41.97349,-87.68527
41.90215,-87.68703
41.88957,-87.67315
41.94742,-87.64976
41.95628,-87.66799
41.82849,-87.64612
41.9808,-87.66831
41.97101,-87.68813
41.90976,-87.71601
41.97087,-87.72233
41.95684,-87.73314
41.89567,-87.62551
41.94194,-87.74938
41.83711,-87.61891
41.85691,-87.62289
41.90072,-87.67488
41.89043,-87.65778
41.97728,-87.66575
41.80646,-87.61351
